epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,530.687,4.41444,2.95902,0.93955,0.02171,0.47253,0.05507,0.00875,4.06587,2.20322,0.71909,0.00101,0.00101,0.00101
152,534.253,4.45904,3.13979,0.95591,0.01506,0.47253,0.02077,0.00474,3.98732,2.59288,0.73215,0.0010034,0.0010034,0.0010034
153,537.811,4.40485,3.1775,0.94616,0.0115,0.46154,0.08768,0.01325,4.04679,2.24589,0.72723,0.0009968,0.0009968,0.0009968
154,541.577,4.35326,3.07774,0.97804,0.01925,0.53846,0.06284,0.01583,3.71775,2.24113,0.70401,0.0009902,0.0009902,0.0009902
155,545.266,4.46635,3.06167,0.96713,0.02895,0.47253,0.0509,0.00936,4.13521,2.1085,0.76823,0.0009836,0.0009836,0.0009836
156,548.773,4.3496,2.94616,0.98455,0.01514,0.36264,0.01452,0.00453,3.90762,2.69799,0.84325,0.000977,0.000977,0.000977
157,552.523,4.26003,2.91,0.97777,0.0202,0.41758,0.02901,0.00621,4.16908,2.44339,0.84374,0.0009704,0.0009704,0.0009704
158,556.131,4.42194,2.95912,0.92126,0.02125,0.41758,0.03434,0.00533,4.27026,2.5328,0.73766,0.0009638,0.0009638,0.0009638
159,559.815,4.5078,2.95805,0.91282,0.01725,0.40659,0.05933,0.00769,4.31705,2.18768,0.73412,0.0009572,0.0009572,0.0009572
160,563.421,4.36174,2.99573,0.93498,0.01524,0.49451,0.05414,0.01045,4.09345,2.26371,0.7334,0.0009506,0.0009506,0.0009506
161,566.87,4.226,2.98495,0.96073,0.01592,0.45055,0.03474,0.00882,3.98899,2.38533,0.72837,0.000944,0.000944,0.000944
162,570.381,4.3366,3.08873,0.96409,0.02057,0.47253,0.03102,0.00932,3.88816,2.5447,0.72945,0.0009374,0.0009374,0.0009374
163,574.019,4.31976,3.03047,0.90519,0.02248,0.48352,0.02558,0.0071,3.84425,2.68265,0.7203,0.0009308,0.0009308,0.0009308
164,577.637,4.34639,2.99511,0.92177,0.01685,0.49451,0.02984,0.00855,3.67853,2.42185,0.7675,0.0009242,0.0009242,0.0009242
165,581.197,4.30498,2.96093,0.95003,0.02121,0.49451,0.03639,0.00772,3.92989,2.48983,0.71985,0.0009176,0.0009176,0.0009176
166,584.901,4.22104,3.00894,0.93627,0.01647,0.49451,0.03912,0.00769,3.97647,2.33991,0.74776,0.000911,0.000911,0.000911
